quoted_at,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,15.84 GBP,19.01 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:35:45+01:00,64,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,20.01 GBP,24.01 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:47:14+01:00,71,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,19.64 GBP,23.57 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:35:45+01:00,64,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,20.01 GBP,24.01 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:47:14+01:00,71,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,19.64 GBP,23.57 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:35:45+01:00,64,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,20.01 GBP,24.01 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:47:14+01:00,71,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,19.64 GBP,23.57 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:35:45+01:00,64,
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,direct_now_asap,,,pushbike,10,ok,200,14.39 GBP,17.27 GBP,10,2026-05-05T05:47:52+01:00,2026-05-05T06:35:06+01:00,71,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW18,SW18 4TF,Wandsworth High Street,Southside Shopping Centre,direct_now_asap,,,motorcycle,20,ok,200,15.84 GBP,19.01 GBP,20,2026-05-05T05:47:54+01:00,2026-05-05T06:23:39+01:00,64,direct flag not set; no documented quote field
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,10.12 GBP,12.14 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:29:57+01:00,54,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,economy_9_18,2026-05-05T09:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,12.13 GBP,14.56 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:27:35+01:00,56,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,10.12 GBP,12.14 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:29:57+01:00,54,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,economy_12_18,2026-05-05T12:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,12.13 GBP,14.56 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:27:35+01:00,56,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,10.42 GBP,12.50 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:29:57+01:00,54,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,tight_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,13.10 GBP,15.72 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:27:35+01:00,56,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,10.42 GBP,12.50 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:29:57+01:00,54,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,tight_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,13.10 GBP,15.72 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:27:35+01:00,56,
2026-05-05T04:16:57+00:00,SW11,SW11 8BJ,1 Electric Boulevard,Battersea Power Station,tight_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,10.42 GBP,12.50 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:29:57+01:00,54,
